anchor,target,rating,score,context
aralkynyl,cholesterol,1d,0.25,C09
aralkynyl,aralkyl,1d,0.25,C09
aralkynyl,heterocycle,1c,0.25,C09
aralkynyl,acyl,1d,0.25,C09
aralkynyl,heterocyclic,1c,0.25,C09
aralkynyl,aryl alkynyl,3,0.75,C09
aralkynyl,aryl moiety,2b,0.50,C09
aralkynyl,aromatic and alkynyl group,2b,0.50,C09
aralkynyl,alkynyl residue,2b,0.50,C09
aralkynyl,heteroalkynyl,2a,0.50,C09
aralkynyl,heteroaralkyl,2b,0.50,C09
aralkynyl,carbon atoms on aryl,2b,0.50,C09
aralkynyl,heroaralkyl,2b,0.50,C09
aralkynyl,organic substution,1d,0.25,C09
aralkynyl,functional group,1c,0.25,C09
aralkynyl,organic groups,1d,0.25,C09
aralkynyl,aromatic ring,1c,0.25,C09
aralkynyl,hydrocarbon groups,1d,0.25,C09
aralkynyl,people groups,0,0.00,C09
aralkynyl,arabic,0,0.00,C09
aralkynyl,interconnected groups,0,0.00,C09
aralkynyl,garbage,0,0.00,C09
aralkynyl,inorganic atoms,0,0.00,C09
aralkynyl,dustbin,0,0.00,C09
medical product,drug,3,0.75,F41
medical product,ampule,3,0.75,F41
medical product,medicament,3,0.75,F41
medical product,food industry,1d,0.25,C12
medical product,combination,0,0.00,C12
medical product,food,1d,0.25,C12
medical product,industry,1d,0.25,C12
medical product,food today,0,0.00,C12
medical product,coating composition,1d,0.25,C12
medical product,adhesive composition,1d,0.25,C12
medical product,today,0,0.00,C12
medical product,pharmaceutical product,3,0.75,C12
medical product,pharmaceutical combination,2b,0.50,C12
medical product,combination product,2b,0.50,C12
medical product,composition,1c,0.25,C12
medical product,pharmacological product,2a,0.50,C12
medical product,drug product,3,0.75,C12
medical product,biologically active product,2b,0.50,C12
medical product,chemical substance product,2b,0.50,C12
medical product,alkaloids,2a,0.50,C12
medical product,artemisinin product,2a,0.50,C12
medical product,pharmaceutical formulation,3,0.75,C12
medical product,narcotic,1d,0.25,C12
medical product,disease,1c,0.25,C12
medical product,hallucinogen,1d,0.25,C12
medical product,treatment,1c,0.25,C12
medical product,biologic substance,1d,0.25,C12
medical product,health,1c,0.25,C12
medical product,raw product,0,0.00,C12
medical product,product model,0,0.00,C12
medical product,product management,0,0.00,C12
medical product,product ratings,0,0.00,C12
medical product,software product,0,0.00,C12
medical product,metal casting,0,0.00,C12
medical product,valve,1b,0.25,F16
medical product,medication,2b,0.50,G06
medical product,medical products,4,1.00,G06
medical product,information,1d,0.25,G06
medical product,recall information,0,0.00,G06
medical product,treatment,2b,0.50,G06
medical product,clinical products,3,0.75,G06
medical product,medical information,2b,0.50,G06
medical product,products,2b,0.50,G06
medical product,clinical product,3,0.75,G06
medical product,medical device,2a,0.50,G06
medical product,drug delivery device,2c,0.50,G06
medical product,pharmacological product,2a,0.50,G06
medical product,medication dispensing unit,2a,0.50,G06
medical product,medical component,2a,0.50,G06
medical product,pharmaceutical article,2c,0.50,G06
medical product,non medical product,1a,0.25,G06
medical product,injection kit,1b,0.25,G06
medical product,skin care,1b,0.25,G06
medical product,skin patch,1b,0.25,G06
medical product,thermometer,1b,0.25,G06
medical product,adaptive machine,0,0.00,G06
medical product,product testing machine,0,0.00,G06
medical product,information storage,0,0.00,G06
medical product,information storage software,0,0.00,G06
medical product,recalling informations,0,0.00,G06
medical product,recall,0,0.00,G06
opposing walls,wheels,0,0.00,A46
opposing walls,handles,0,0.00,A46
opposing walls,sides,2b,0.50,A46
opposing walls,members,1b,0.25,A46
opposing walls,opposing barrier,3,0.75,A46
opposing walls,opposite walls,4,1.00,A46
opposing walls,opposing side,3,0.75,A46
opposing walls,two opposite blocks,2b,0.50,A46
opposing walls,obstacle,2b,0.50,A46
opposing walls,walls facing each other,3,0.75,A46
opposing walls,resistance wall,3,0.75,A46
opposing walls,different walls,2c,0.50,A46
opposing walls,wall,1c,0.25,A46
opposing walls,barriers oppositely placed,1d,0.25,A46
